,Tytuł,Kliknięcia linku
0,"Wiesz, skąd wzięły się te nazwy dań i napojów? Sprawdź, czy pobijesz średnią 5/11",2060
1,"Dla jakiego zakonu zbudowany został Zamek w Malborku? Jeśli wiesz, masz już jeden punkt ",2335
2,Szybkie 5x5 pytań z wiedzy ogólnej. Komplet punktów? Zarezerwowany dla omnibusów ,1906
3,"Ogórek quiz wiedzy ogólnej. Temat wydaje się banalny, ale pytania rozłożą was na łopatki",7927
4,Przepytamy cię z wielu dziedzin. Tylko omnibus odpowie na wszystkie pytania,15567
5,Spędzałeś w dzieciństwie wakacje na wsi? Twoje szanse w tym quizie rosną,24057
6,"Wyobraź sobie, że pracujesz z Zagłobą. Zrozumiesz, co do ciebie mówi? ",1623
7,Każdy kierowca powinien zrobić ten quiz. Masz mniej niż 5 punktów? Lepiej się nie przyznawaj,5151
8,"Jeśli nie masz pojęcia kim jest Mieczysław Fogg, to nie jest quiz dla ciebie. Reszta powinna się świetnie bawić",24845
9,"Więcej niż połowa z was nie wie, co powiedzieć, gdy dzwoni pod numer alarmowy",2232
10,"Jeśli nie masz pojęcia o Francji, ten quiz może okazać się dla ciebie za trudny",3087
11,Te pytania sprawdzą twoją wiedzę z geografii. Pobijesz średnią 10/16?,2491
12,"Pytamy o sławnych okularników. Ciekawe, jak sobie poradzicie ",17811
13,Z którego miasta pochodzi lajkonik? a) Z Gdańska; b) Z Opola; c) Z Krakowa ,2947
14,Quiz szkolny nie dla leserów. Zasłużysz na piątkę czy okryjesz się wstydem?,2268
15,Jak nazwiesz tę fryzurę? Nie wiesz? Kolejne pytania są jeszcze trudniejsze,2954
16,11 pytań o Anglię. Co wiesz o tym kraju? Do pobicia średnia 7/11,6480
17,Pamiętasz Szarika? Sprawdź się w quizie o sławnych psach ,18268
18,"Najkrótszą granicę Belgia ma z: a) Francją, b) Luksemburgiem, c) Holandią",486
19,"Jeśli znasz stare piosenki, ten quiz będzie dla ciebie łatwizną. Inni mogą mieć problem ",8091
20,To nie jest oczywisty quiz. Znasz wszystkie przysłowia o jedzeniu? ,5609
21,"To największe gwiazdy muzyki, a nie wiecie jak się nazywają. Rozpoznasz artystów po pseudonimach?",5630
22,"Pamiętasz jeszcze, czym się płaciło przed euro? Fory mają urodzeni przed latami 90. ",2713
23,Tylko prawdziwi koneserzy mody mają szanse na komplet punktów. Reszta podda się już po 2. pytaniu ,810
24,"To quiz dla ludzi dużej wiary. Myślisz, że duchów nie ma? W tym quizie nie masz szans",4133
25,Poznasz polskie miasta po ich symbolach? Komplet punktów tylko dla znawców,13648
26,Ten quiz ortograficzny sprawia wam wiele kłopotów. Tylko mistrzowie zdobędą komplet punktów,14216
27,Polskie miasta i polskie piosenki. Dopasujesz jedno do drugiego? Średnia 7/12,1866
28,W którym sporcie używa się takiej piłki? Nie rozpoznaje tego 1/5 z was  ,2355
29,Cośrodowy zastrzyk emocji. Zdobędziesz komplet? Jesteś mistrzem,2058
30,"Temat może wydawać się banalny, ale pytania nie są proste. Pytamy tylko o jedną kategorię",2270
31,"12 faktów o ""Stawce większej niż życie"", które musisz znać. Sprawdź, czy pamiętasz serial",17559
32,"San, Sopot, Seszele. Sprawdź swoją wiedzę w geograficznym quizie na literę ""S""",2474
33,Portugalia. Co wiesz o tym kraju? Spróbuj przebić średnią 6/12,575
34,"Gdy pocałujesz, może zamieni się w księcia. Sprawdź swoją wiedzę o żabach",1757
35,Czerwony nie jest Twoim ulubionym kolorem? Ten quiz może sprawić Ci dużo problemów,8949
36,"Sprawdź, czy rozpoznasz słynny polski film po cytacie. Wasza średnia 11/15",15189
37,Pamiętasz słowa weselnych przyśpiewek? Sprawdzimy to! ,8481
38,"Jeśli nie znasz tych dzieł, to lepiej się nie przyznawaj. Pytamy o słynne obrazy polskich malarzy",11780
39,"Jeśli myślisz, że pepegi to danie kuchni czeskiej, ten quiz będzie ci się śnił po nocach. Średnia 7/12 ",4534
40,"Wszystko, co powinieneś wiedzieć o pytonach. Sprawdź, ile wiesz o tych wielkich gadach",417
41,Quiz - Rozpoznasz polskiego malarza po obrazie? W tym quizie szanse mają tylko najlepsi - Gazeta.pl,347
42,"""Płonie ognisko w lesie, wiatr..."" Pamiętasz, co było dalej? Byli harcerze mają szanse na komplet",5636
43,"Powtórka z polskiego. Odważysz się? Sprawdzimy, jak dobrze pamiętasz Inwokację",16368
44,"Czujesz, że zbijesz kiedyś fortunę? Sprawdź, ile wiesz o pieniądzach w quizie wiedzy ogólnej",1563
45,Copiątkowe wyzwanie. Tylko nieliczni poszczycą się kompletem punktów,1887
46,Ekstremalny quiz wiedzy. W tym quizie niektórzy zdobywają tylko 3/10,34266
47,"Sprawdź, czy masz szansę zostać MasterChefem. Oto quiz kulinarny na literę M",2386
48,Zadajemy życiowe pytania o rośliny. Do błędów lepiej się nie przyznawać,4887
49,Chile i Brazylia są sąsiadami. Prawda czy fałsz? Co wiesz o Ameryce Południowej?,649
